Organizing Committee,TECHNICAL PROGRAM CHAIRS,Abhinav Muley,"St. Vincent Pallotti College of Engineering and Technology, Nagpur"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Abhinav Reddy Jutur,J P Morgan Chase and Co.
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Abhishek Shukla,Syracuse University
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Achuta Krishna Kishore Varma Alluri,Informa Support Services Inc
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Adnan Sofi,Central University of Kashmir
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Akoramurthy Balasubramaniam,National Institute of Technology Puducherry
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Ali Nazarizadeh,Islamic Azad University Central Tehran Branch
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Amar Nath,SLIET Longowal India
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Amit Soni Arya,Bennett University
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Amrendra Kumar Sharma,CSJMU
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Anagha Raich,NMIMS SVKM's Mukesh Patel School of Technology Management and Engineering
Organizing Committee,TECHNICAL PROGRAM CHAIRS,ANIKET MULEY,Swami Ramanad Teerth Marathwada University
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Anurag Rana,Shoolini University
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Archana Nandibewoor,"Dayanada Sagar College of Engineering, Bangalore"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Arvind Jagtap,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology, Baramati"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Aryan Patodiya,"California State University, United States of America"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Ashish Dibouliya,Webster Bank USA
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Ashok Kumar Patil,"PES University, Bangalore"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Ashutosh Shanker,"Palo Alto Networks, Inc."
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Aysha Khan,Aligarh Muslim University
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Azka Wani,Zayed University
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Basavaraj Sannakashappanavar,Dayananda Sagar College of Engineering Bangalore
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Bhanu Prakash Reddy Rella,Walmart
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Bhavyateja Potineni,CapitalOne
Organizing Committee,TECHNICAL PROGRAM CHAIRS,BIKRAM DAS,"National Institute of Technology, Silchar, Assam, India"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Bouchaib Cherradi,CRMEF Casablanca-Settat (S. P d'El Jadida)
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Chetan Ratnawat,"Capgemini America Inc, USA"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Dane Brown,Rhodes University
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Devendran Alagarsamy,Sri Ramachandra Institute of Higher Education and Research (SRIHER) (Deemed to be University)
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Devi Manoharan,ASTA CRS INC
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Devkumar Biswas,"Indian Insitute of Technology, Ropar"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Fazeelath Tabassum,REVA University
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Ganga Holi,Alliance University
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Goutham Kacheru,Apexon
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Hariharan R,"SRM Institute of Science and Technology, Kattankulathur ,Chennai"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Harshavardhana Doddamani,S.J.C. Institute of Technology
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Hirenkumar Dholariya,Thermo Fisher Scientific
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Indu Dohare,Motilal Nehru National Institute of Technology Allahabad
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Intyaz Alam,"JNU, New Delhi"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Irfan Rasool,"School of Engineering and Technology (SET), CGC University, Mohali, 140307, Punjab"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Jayanta Boruah,Central University of Karnataka
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Junaid Syed,"Georgia Institute of Technology, USA"
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Jyotheeswara Reddy GottamÂ,Walmart Global Technology
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Kaavya Kanagaraj,Central University of Karnataka
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Kapil Mehrotra,"C-DAC, India"
